Chest Type,ItemStack,Item Display Name,Item ID,Weight
A_WIZARD_DID_IT,1xitem.artifact@0,Artifact,Artifacts:artifact,10
A_WIZARD_DID_IT,1xitem.enchantedBook@0,Enchanted Book,minecraft:enchanted_book,5
A_WIZARD_DID_IT,1xitem.diamond@0,Diamond,minecraft:diamond,3
A_WIZARD_DID_IT,1xitem.goldNugget@0,Gold Nugget,minecraft:gold_nugget,5
A_WIZARD_DID_IT,1xitem.dust_orichalcum@0,Raw Manaesence,Artifacts:dust_orichalcum,3
A_WIZARD_DID_IT,1xitem.dust_orichalcum@1,Wood infused Manaesence,Artifacts:dust_orichalcum,3
A_WIZARD_DID_IT,1xitem.dust_orichalcum@2,Stone infused Manaesence,Artifacts:dust_orichalcum,3
A_WIZARD_DID_IT,1xitem.dust_orichalcum@3,Iron infused Manaesence,Artifacts:dust_orichalcum,3
A_WIZARD_DID_IT,1xitem.dust_orichalcum@4,Diamond infused Manaesence,Artifacts:dust_orichalcum,3
A_WIZARD_DID_IT,1xitem.expBottle@0,Bottle o' Enchanting,minecraft:experience_bottle,2
A_WIZARD_DID_IT,1xitem.dust_orichalcum@0,Raw Manaesence,Artifacts:dust_orichalcum,2
A_WIZARD_DID_IT,1xitem.artifact_leather_helmet@0,Artifact Leather Armor,Artifacts:artifact_leather_helmet,10
A_WIZARD_DID_IT,1xitem.artifact_leather_chestplate@0,Artifact Leather Armor,Artifacts:artifact_leather_chestplate,10
A_WIZARD_DID_IT,1xitem.artifact_leather_leggings@0,Artifact Leather Armor,Artifacts:artifact_leather_leggings,10
A_WIZARD_DID_IT,1xitem.artifact_leather_boots@0,Artifact Leather Armor,Artifacts:artifact_leather_boots,10
ProceeduralGeneration,1xitem.artifact@0,Artifact,Artifacts:artifact,5
ProceeduralGeneration,1xitem.artifact_leather_helmet@0,Artifact Leather Armor,Artifacts:artifact_leather_helmet,5
ProceeduralGeneration,1xitem.artifact_leather_chestplate@0,Artifact Leather Armor,Artifacts:artifact_leather_chestplate,5
ProceeduralGeneration,1xitem.artifact_leather_leggings@0,Artifact Leather Armor,Artifacts:artifact_leather_leggings,5
ProceeduralGeneration,1xitem.artifact_leather_boots@0,Artifact Leather Armor,Artifacts:artifact_leather_boots,5
ProceeduralGeneration,1xitem.artifact_chainmail_helmet@0,Artifact Chainmail Armor,Artifacts:artifact_chainmail_helmet,5
ProceeduralGeneration,1xitem.artifact_chainmail_chestplate@0,Artifact Chainmail Armor,Artifacts:artifact_chainmail_chestplate,5
ProceeduralGeneration,1xitem.artifact_chainmail_leggings@0,Artifact Chainmail Armor,Artifacts:artifact_chainmail_leggings,5
ProceeduralGeneration,1xitem.artifact_chainmail_boots@0,Artifact Chainmail Armor,Artifacts:artifact_chainmail_boots,5
ProceeduralGeneration,1xitem.artifact_iron_helmet@0,Artifact Iron Armor,Artifacts:artifact_iron_helmet,5
ProceeduralGeneration,1xitem.artifact_iron_chestplate@0,Artifact Iron Armor,Artifacts:artifact_iron_chestplate,5
ProceeduralGeneration,1xitem.artifact_iron_leggings@0,Artifact Iron Armor,Artifacts:artifact_iron_leggings,5
ProceeduralGeneration,1xitem.artifact_iron_boots@0,Artifact Iron Armor,Artifacts:artifact_iron_boots,5
ProceeduralGeneration,1xitem.artifact_golden_helmet@0,Artifact Golden Armor,Artifacts:artifact_golden_helmet,5
ProceeduralGeneration,1xitem.artifact_golden_chestplate@0,Artifact Golden Armor,Artifacts:artifact_golden_chestplate,5
ProceeduralGeneration,1xitem.artifact_golden_leggings@0,Artifact Golden Armor,Artifacts:artifact_golden_leggings,5
ProceeduralGeneration,1xitem.artifact_golden_boots@0,Artifact Golden Armor,Artifacts:artifact_golden_boots,5
ProceeduralGeneration,1xitem.artifact_diamond_helmet@0,Artifact Diamond Armor,Artifacts:artifact_diamond_helmet,5
ProceeduralGeneration,1xitem.artifact_diamond_chestplate@0,Artifact Diamond Armor,Artifacts:artifact_diamond_chestplate,5
ProceeduralGeneration,1xitem.artifact_diamond_leggings@0,Artifact Diamond Armor,Artifacts:artifact_diamond_leggings,5
ProceeduralGeneration,1xitem.artifact_diamond_boots@0,Artifact Diamond Armor,Artifacts:artifact_diamond_boots,5
