ID,Provider ID,Provider Class Name
-100,-100,com.rwtema.extrautils.worldgen.WorldProviderUnderdark
-42,-42,thaumcraft.common.lib.world.dim.WorldProviderOuter
-38,-38,com.emoniph.witchery.dimension.WorldProviderTorment
-37,-37,com.emoniph.witchery.dimension.WorldProviderDreamWorld
-30,-30,micdoodle8.mods.galacticraft.planets.asteroids.dimension.WorldProviderAsteroids
-29,-29,micdoodle8.mods.galacticraft.planets.mars.dimension.WorldProviderMars
-28,-28,micdoodle8.mods.galacticraft.core.dimension.WorldProviderMoon
-19,-19,thaumic.tinkerer.common.dim.WorldProviderBedrock
-1,-1,biomesoplenty.common.world.WorldProviderBOPHell
0,0,biomesoplenty.common.world.WorldProviderSurfaceBOP
1,1,chylex.hee.world.WorldProviderHardcoreEnd
2,2,lumien.randomthings.Handler.Spectre.WorldProviderSpectre
3,3,org.dave.CompactMachines.handler.machinedimension.WorldProviderMachines
6,6,aroma1997.world.dimension.WorldProviderMiner
7,-777,twilightforest.world.WorldProviderTwilightForest
17,17,com.teammetallurgy.atum.world.AtumWorldProvider
66,66,erebus.world.WorldProviderErebus
