Ore Name,ItemStack,Item ID,Wildcard,Mod
Tubes$anyDye,1xitem.dyePowder@0,minecraft:dye,false,minecraft
Tubes$anyDye,1xitem.dye@15,Botania:dye,false,Botania
Tubes$anyDye,1xitem.misc@9,BiomesOPlenty:misc,false,BiomesOPlenty
Tubes$anyDye,1xitem.artifice.dye@1,Artifice:item.artifice.dye,false,Artifice
Tubes$anyDye,1xitem.FMResource@1,ForbiddenMagic:FMResource,false,ForbiddenMagic
Tubes$anyDye,1xitem.gendustry.HoneyDrop@10,gendustry:HoneyDrop,false,gendustry
Tubes$anyDye,1xitem.dyePowder@1,minecraft:dye,false,minecraft
Tubes$anyDye,1xitem.dye@14,Botania:dye,false,Botania
Tubes$anyDye,1xitem.gendustry.HoneyDrop@11,gendustry:HoneyDrop,false,gendustry
Tubes$anyDye,1xitem.dyePowder@2,minecraft:dye,false,minecraft
Tubes$anyDye,1xitem.dye@13,Botania:dye,false,Botania
Tubes$anyDye,1xitem.misc@7,BiomesOPlenty:misc,false,BiomesOPlenty
Tubes$anyDye,1xitem.gendustry.HoneyDrop@12,gendustry:HoneyDrop,false,gendustry
Tubes$anyDye,1xitem.dyePowder@3,minecraft:dye,false,minecraft
Tubes$anyDye,1xitem.dye@12,Botania:dye,false,Botania
Tubes$anyDye,1xitem.misc@6,BiomesOPlenty:misc,false,BiomesOPlenty
Tubes$anyDye,1xitem.mfr.fertilizer@0,MineFactoryReloaded:fertilizer,false,MineFactoryReloaded
Tubes$anyDye,1xitem.artifice.dye@2,Artifice:item.artifice.dye,false,Artifice
Tubes$anyDye,1xitem.gendustry.HoneyDrop@13,gendustry:HoneyDrop,false,gendustry
Tubes$anyDye,1xitem.dyePowder@4,minecraft:dye,false,minecraft
Tubes$anyDye,1xitem.dye@11,Botania:dye,false,Botania
Tubes$anyDye,1xitem.barleyFood@8,Natura:barleyFood,false,Natura
Tubes$anyDye,1xitem.misc@5,BiomesOPlenty:misc,false,BiomesOPlenty
Tubes$anyDye,1xitem.artifice.dye@0,Artifice:item.artifice.dye,false,Artifice
Tubes$anyDye,1xitem.gendustry.HoneyDrop@14,gendustry:HoneyDrop,false,gendustry
Tubes$anyDye,1xitem.dyePowder@5,minecraft:dye,false,minecraft
Tubes$anyDye,1xitem.dye@10,Botania:dye,false,Botania
Tubes$anyDye,1xitem.gendustry.HoneyDrop@15,gendustry:HoneyDrop,false,gendustry
Tubes$anyDye,1xitem.dyePowder@6,minecraft:dye,false,minecraft
Tubes$anyDye,1xitem.dye@9,Botania:dye,false,Botania
Tubes$anyDye,1xitem.gendustry.HoneyDrop@16,gendustry:HoneyDrop,false,gendustry
Tubes$anyDye,1xitem.dyePowder@7,minecraft:dye,false,minecraft
Tubes$anyDye,1xitem.dye@8,Botania:dye,false,Botania
Tubes$anyDye,1xitem.gendustry.HoneyDrop@17,gendustry:HoneyDrop,false,gendustry
Tubes$anyDye,1xitem.dyePowder@8,minecraft:dye,false,minecraft
Tubes$anyDye,1xitem.dye@7,Botania:dye,false,Botania
Tubes$anyDye,1xitem.gendustry.HoneyDrop@18,gendustry:HoneyDrop,false,gendustry
Tubes$anyDye,1xitem.dyePowder@9,minecraft:dye,false,minecraft
Tubes$anyDye,1xitem.dye@6,Botania:dye,false,Botania
Tubes$anyDye,1xitem.gendustry.HoneyDrop@19,gendustry:HoneyDrop,false,gendustry
Tubes$anyDye,1xitem.dyePowder@10,minecraft:dye,false,minecraft
Tubes$anyDye,1xitem.dye@5,Botania:dye,false,Botania
Tubes$anyDye,1xitem.gendustry.HoneyDrop@20,gendustry:HoneyDrop,false,gendustry
Tubes$anyDye,1xitem.dyePowder@11,minecraft:dye,false,minecraft
Tubes$anyDye,1xitem.dye@4,Botania:dye,false,Botania
Tubes$anyDye,1xitem.gendustry.HoneyDrop@21,gendustry:HoneyDrop,false,gendustry
Tubes$anyDye,1xitem.dyePowder@12,minecraft:dye,false,minecraft
Tubes$anyDye,1xitem.dye@3,Botania:dye,false,Botania
Tubes$anyDye,1xitem.gendustry.HoneyDrop@22,gendustry:HoneyDrop,false,gendustry
Tubes$anyDye,1xitem.dyePowder@13,minecraft:dye,false,minecraft
Tubes$anyDye,1xitem.dye@2,Botania:dye,false,Botania
Tubes$anyDye,1xitem.gendustry.HoneyDrop@23,gendustry:HoneyDrop,false,gendustry
Tubes$anyDye,1xitem.dyePowder@14,minecraft:dye,false,minecraft
Tubes$anyDye,1xitem.dye@1,Botania:dye,false,Botania
Tubes$anyDye,1xitem.gendustry.HoneyDrop@24,gendustry:HoneyDrop,false,gendustry
Tubes$anyDye,1xitem.dyePowder@15,minecraft:dye,false,minecraft
Tubes$anyDye,1xitem.dye@0,Botania:dye,false,Botania
Tubes$anyDye,1xitem.misc@8,BiomesOPlenty:misc,false,BiomesOPlenty
Tubes$anyDye,1xitem.artifice.dye@3,Artifice:item.artifice.dye,false,Artifice
Tubes$anyDye,1xitem.gendustry.HoneyDrop@25,gendustry:HoneyDrop,false,gendustry
alloyAdvanced,1xitem.EnrichedAlloy@0,Mekanism:EnrichedAlloy,false,Mekanism
alloyBasic,1xitem.redstone@0,minecraft:redstone,false,minecraft
alloyElite,1xitem.ReinforcedAlloy@0,Mekanism:ReinforcedAlloy,false,Mekanism
alloyUltimate,1xitem.AtomicAlloy@0,Mekanism:AtomicAlloy,false,Mekanism
alumiteRod,1xitem.tconstruct.ToolRod@15,TConstruct:toolRod,false,TConstruct
arditeRod,1xitem.tconstruct.ToolRod@11,TConstruct:toolRod,false,TConstruct
bFlask,1xitem.vial@1,Botania:vial,false,Botania
bPlaceholder,1xitem.manaResource@11,Botania:manaResource,false,Botania
bRedString,1xitem.manaResource@12,Botania:manaResource,false,Botania
bVial,1xitem.vial@0,Botania:vial,false,Botania
bamboo,1xitem.grc.bamboo@0,Growthcraft|Bamboo:grc.bamboo,false,Growthcraft|Bamboo
barsIron,1xtile.blockDarkIronBars@0,EnderIO:blockDarkIronBars,false,EnderIO
barsIron,1xtile.fenceIron@0,minecraft:iron_bars,false,minecraft
battery,1xitem.EnergyTablet@100,Mekanism:EnergyTablet,false,Mekanism
beeComb,1xitem.for.beeCombs@32767,Forestry:beeCombs,true,Forestry
beeComb,1xitem.comb@32767,MagicBees:comb,true,MagicBees
beeComb,1xitem.gendustry.HoneyComb@32767,gendustry:HoneyComb,true,gendustry
beeQueen,1xitem.grc.bee@0,Growthcraft|Bees:grc.bee,false,Growthcraft|Bees
blockAdamantine,1xtile.metal.block.fantasy.block@13,Metallurgy:fantasy.block,false,Metallurgy
blockAlduorite,1xtile.metal.block.nether.block@6,Metallurgy:nether.block,false,Metallurgy
blockAluminium,1xtile.tconstruct.metalblock@6,TConstruct:MetalBlock,false,TConstruct
blockAluminiumBrass,1xtile.tconstruct.metalblock@7,TConstruct:MetalBlock,false,TConstruct
blockAluminum,1xtile.tconstruct.metalblock@6,TConstruct:MetalBlock,false,TConstruct
blockAluminumBrass,1xtile.tconstruct.metalblock@7,TConstruct:MetalBlock,false,TConstruct
blockAlumite,1xtile.tconstruct.metalblock@8,TConstruct:MetalBlock,false,TConstruct
blockAmordrine,1xtile.metal.block.nether.block@12,Metallurgy:nether.block,false,Metallurgy
blockAngmallen,1xtile.metal.block.base.block@6,Metallurgy:base.block,false,Metallurgy
blockApatite,1xtile.for.resourceStorage@0,Forestry:resourceStorage,false,Forestry
blockArdite,1xtile.tconstruct.metalblock@1,TConstruct:MetalBlock,false,TConstruct
blockAstralSilver,1xtile.metal.block.fantasy.block@5,Metallurgy:fantasy.block,false,Metallurgy
blockAtlarus,1xtile.metal.block.fantasy.block@14,Metallurgy:fantasy.block,false,Metallurgy
blockBasalt,1xtile.artifice.basalt@0,Artifice:tile.artifice.basalt,false,Artifice
blockBitumen,1xtile.metal.block.utility.block@4,Metallurgy:utility.block,false,Metallurgy
