ID,Unlocalised name,Class
0,null,null,null,null
1,potion.moveSpeed,net.minecraft.potion.Potion
2,potion.moveSlowdown,net.minecraft.potion.Potion
3,potion.digSpeed,net.minecraft.potion.Potion
4,potion.digSlowDown,net.minecraft.potion.Potion
5,potion.damageBoost,net.minecraft.potion.PotionAttackDamage
6,potion.heal,net.minecraft.potion.PotionHealth
7,potion.harm,net.minecraft.potion.PotionHealth
8,potion.jump,net.minecraft.potion.Potion
9,potion.confusion,net.minecraft.potion.Potion
10,potion.regeneration,net.minecraft.potion.Potion
11,potion.resistance,net.minecraft.potion.Potion
12,potion.fireResistance,net.minecraft.potion.Potion
13,potion.waterBreathing,net.minecraft.potion.Potion
14,potion.invisibility,net.minecraft.potion.Potion
15,potion.blindness,net.minecraft.potion.Potion
16,potion.nightVision,net.minecraft.potion.Potion
17,potion.hunger,net.minecraft.potion.Potion
18,potion.weakness,net.minecraft.potion.PotionAttackDamage
19,potion.poison,net.minecraft.potion.Potion
20,potion.wither,net.minecraft.potion.Potion
21,potion.healthBoost,net.minecraft.potion.PotionHealthBoost
22,potion.absorption,net.minecraft.potion.PotionAbsoption
23,potion.saturation,net.minecraft.potion.PotionHealth
24,ic2.potion.radiation,ic2.core.IC2Potion
25,aec.potion.regneration,com.iconmaster.aec.item.PotionRegneration
26,potion.fluxtaint,thaumcraft.api.potions.PotionFluxTaint
27,potion.visexhaust,thaumcraft.api.potions.PotionVisExhaust
28,potion.infvisexhaust,thaumcraft.common.lib.potions.PotionInfectiousVisExhaust
29,potion.unhunger,thaumcraft.common.lib.potions.PotionUnnaturalHunger
30,potionHardness,com.ollieread.technomagi.potion.PotionTM
31,potion.warpward,thaumcraft.common.lib.potions.PotionWarpWard
32,witchery:potion.paralysed,com.emoniph.witchery.brewing.potions.PotionParalysis
33,witchery:potion.wrappedinvine,com.emoniph.witchery.brewing.potions.PotionWrappedInVine
34,witchery:potion.spiked,com.emoniph.witchery.brewing.potions.PotionSpiked
35,witchery:potion.sprouting,com.emoniph.witchery.brewing.potions.PotionSprouting
36,witchery:potion.grotesque,com.emoniph.witchery.brewing.potions.PotionGrotesque
37,witchery:potion.love,com.emoniph.witchery.brewing.potions.PotionLove
38,witchery:potion.allergysun,com.emoniph.witchery.brewing.potions.PotionSunAllergy
39,witchery:potion.chilled,com.emoniph.witchery.brewing.potions.PotionChilled
40,potion.brewcraft.angel,redgear.brewcraft.effects.EffectAngel
41,potion.brewcraft.flight,redgear.brewcraft.effects.EffectFlight
42,potion.brewcraft.creeper,redgear.brewcraft.effects.EffectCreeper
43,potion.brewcraft.immunity,redgear.brewcraft.effects.EffectImmunity
44,potion.brewcraft.frozen,redgear.brewcraft.effects.EffectFrozen
45,potion.brewcraft.fireproof,redgear.brewcraft.effects.EffectFireproof
46,potion.brewcraft.flame,redgear.brewcraft.effects.EffectEternalFlame
47,potion.brewcraft.fireEater,redgear.brewcraft.effects.EffectFireEater
48,potion.poison,redgear.brewcraft.effects.EffectVanillaThree
49,potion.wither,redgear.brewcraft.effects.EffectVanillaThree
50,potion.regeneration,redgear.brewcraft.effects.EffectVanillaThree
51,witchery:potion.overheating,com.emoniph.witchery.brewing.potions.PotionOverheating
52,witchery:potion.wakingnightmare,com.emoniph.witchery.brewing.potions.PotionWakingNightmare
53,witchery:potion.queasy,com.emoniph.witchery.brewing.potions.PotionQueasy
54,witchery:potion.swimming,com.emoniph.witchery.brewing.potions.PotionSwimming
55,witchery:potion.resizing,com.emoniph.witchery.brewing.potions.PotionResizing
56,witchery:potion.colorful,com.emoniph.witchery.brewing.potions.PotionColorful
57,witchery:potion.enderinhibition,com.emoniph.witchery.brewing.potions.PotionEnderInhibition
58,witchery:potion.illfitting,com.emoniph.witchery.brewing.potions.PotionIllFitting
59,witchery:potion.volatility,com.emoniph.witchery.brewing.potions.PotionVolatility
60,witchery:potion.enslaved,com.emoniph.witchery.brewing.potions.PotionEnslaved
61,witchery:potion.mortalcoil,com.emoniph.witchery.brewing.potions.PotionMortalCoil
62,witchery:potion.absorbmagic,com.emoniph.witchery.brewing.potions.PotionAbsorbMagic
63,witchery:potion.poisonweapons,com.emoniph.witchery.brewing.potions.PotionPoisonWeapons
64,witchery:potion.reflectprojectiles,com.emoniph.witchery.brewing.potions.PotionReflectProjectiles
65,witchery:potion.reflectdamage,com.emoniph.witchery.brewing.potions.PotionReflectDamage
66,witchery:potion.attractprojectiles,com.emoniph.witchery.brewing.potions.PotionAttractProjectiles
67,witchery:potion.repellattacker,com.emoniph.witchery.brewing.potions.PotionRepellAttacker
68,witchery:potion.stoutbelly,com.emoniph.witchery.brewing.potions.PotionStoutBelly
69,witchery:potion.feelnopain,com.emoniph.witchery.brewing.potions.PotionFeelNoPain
70,potion.blood_seal,fox.spiteful.forbidden.potions.PotionBloodSeal
71,witchery:potion.gasmask,com.emoniph.witchery.brewing.potions.PotionGasMask
72,witchery:potion.diseased,com.emoniph.witchery.brewing.potions.PotionDiseased
73,witchery:potion.fortune,com.emoniph.witchery.brewing.potions.PotionFortune
74,witchery:potion.worship,com.emoniph.witchery.brewing.potions.PotionWorship
75,witchery:potion.keepeffects,com.emoniph.witchery.brewing.potions.PotionKeepEffectsOnDeath
76,potion.deathgaze,thaumcraft.common.lib.potions.PotionDeathGaze
77,potion.blurred,thaumcraft.common.lib.potions.PotionBlurredVision
78,potion.sunscorned,thaumcraft.common.lib.potions.PotionSunScorned
79,potion.thaumarhia,thaumcraft.common.lib.potions.PotionThaumarhia
80,imbue.poison,lumien.randomthings.Potions.PotionImbue
81,imbue.weakness,lumien.randomthings.Potions.PotionImbue
82,imbue.wither,lumien.randomthings.Potions.PotionImbue
83,imbue.experience,lumien.randomthings.Potions.PotionImbue
84,imbue.fire,lumien.randomthings.Potions.PotionImbue
85,imbue.spectre,lumien.randomthings.Potions.PotionImbue
86,Fire Imbued,thaumic.tinkerer.common.potion.DummyPotions
87,Wated Imbued,thaumic.tinkerer.common.potion.DummyPotions
88,null,null,null,null
89,Earth Imbued,thaumic.tinkerer.common.potion.DummyPotions
90,Air Imbued,thaumic.tinkerer.common.potion.DummyPotions
91,null,null,null,null
92,null,null,null,null
93,null,null,null,null
94,null,null,null,null
95,null,null,null,null
96,null,null,null,null
97,null,null,null,null
98,null,null,null,null
99,null,null,null,null
100,Drowning,WayofTime.alchemicalWizardry.common.potion.PotionDrowning
101,Boost,WayofTime.alchemicalWizardry.common.potion.PotionBoost
102,Whirlwind,WayofTime.alchemicalWizardry.common.potion.PotionProjectileProtect
103,Inhibit,WayofTime.alchemicalWizardry.common.potion.PotionInhibit
104,Flight,WayofTime.alchemicalWizardry.common.potion.PotionFlight
105,Reciprocation,WayofTime.alchemicalWizardry.common.potion.PotionReciprocation
106,Flame Cloak,WayofTime.alchemicalWizardry.common.potion.PotionFlameCloak
107,Ice Cloak,WayofTime.alchemicalWizardry.common.potion.PotionIceCloak
108,Heavy Heart,WayofTime.alchemicalWizardry.common.potion.PotionHeavyHeart
109,Fire Fuse,WayofTime.alchemicalWizardry.common.potion.PotionFireFuse
110,grc.potion.tipsy,growthcraft.cellar.potion.PotionCellar
111,Soul Fray,WayofTime.alchemicalWizardry.common.potion.PotionSoulFray
112,Soul Harden,WayofTime.alchemicalWizardry.common.potion.PotionSoulHarden
113,Deafness,WayofTime.alchemicalWizardry.common.potion.PotionDeaf
114,Demo Cloaking,WayofTime.alchemicalWizardry.common.potion.PotionDemonCloak
115,null,null,null,null
116,null,null,null,null
117,null,null,null,null
118,null,null,null,null
119,null,null,null,null
120,null,null,null,null
121,null,null,null,null
122,null,null,null,null
123,null,null,null,null
124,null,null,null,null
125,null,null,null,null
126,null,null,null,null
127,null,null,null,null
128,null,null,null,null
129,null,null,null,null
130,null,null,null,null
131,null,null,null,null
132,null,null,null,null
133,null,null,null,null
134,null,null,null,null
135,null,null,null,null
136,null,null,null,null
137,null,null,null,null
138,null,null,null,null
139,null,null,null,null
140,null,null,null,null
141,null,null,null,null
142,null,null,null,null
143,null,null,null,null
144,null,null,null,null
145,null,null,null,null
146,null,null,null,null
147,null,null,null,null
148,null,null,null,null
149,null,null,null,null
150,null,null,null,null
151,null,null,null,null
152,null,null,null,null
153,null,null,null,null
154,null,null,null,null
155,null,null,null,null
156,null,null,null,null
157,null,null,null,null
158,null,null,null,null
159,null,null,null,null
160,null,null,null,null
161,null,null,null,null
162,null,null,null,null
163,null,null,null,null
164,null,null,null,null
165,null,null,null,null
166,null,null,null,null
167,null,null,null,null
168,null,null,null,null
169,null,null,null,null
170,null,null,null,null
171,null,null,null,null
172,null,null,null,null
173,null,null,null,null
174,null,null,null,null
175,null,null,null,null
176,null,null,null,null
177,null,null,null,null
178,null,null,null,null
179,null,null,null,null
180,null,null,null,null
181,null,null,null,null
182,null,null,null,null
183,null,null,null,null
184,null,null,null,null
185,null,null,null,null
186,null,null,null,null
187,null,null,null,null
188,null,null,null,null
189,null,null,null,null
190,null,null,null,null
191,null,null,null,null
192,null,null,null,null
193,null,null,null,null
194,null,null,null,null
195,null,null,null,null
196,null,null,null,null
197,null,null,null,null
198,null,null,null,null
199,null,null,null,null
200,null,null,null,null
201,null,null,null,null
202,null,null,null,null
203,null,null,null,null
204,null,null,null,null
205,null,null,null,null
206,null,null,null,null
207,null,null,null,null
208,null,null,null,null
209,null,null,null,null
210,null,null,null,null
211,null,null,null,null
212,null,null,null,null
213,null,null,null,null
214,null,null,null,null
215,null,null,null,null
216,null,null,null,null
217,null,null,null,null
218,null,null,null,null
219,null,null,null,null
220,null,null,null,null
221,null,null,null,null
222,null,null,null,null
223,null,null,null,null
224,null,null,null,null
225,null,null,null,null
226,null,null,null,null
227,null,null,null,null
228,null,null,null,null
229,null,null,null,null
230,null,null,null,null
231,null,null,null,null
232,null,null,null,null
233,null,null,null,null
234,null,null,null,null
235,null,null,null,null
236,null,null,null,null
237,null,null,null,null
238,null,null,null,null
239,null,null,null,null
240,null,null,null,null
241,null,null,null,null
242,null,null,null,null
243,null,null,null,null
244,null,null,null,null
245,null,null,null,null
246,null,null,null,null
247,null,null,null,null
248,null,null,null,null
249,null,null,null,null
250,null,null,null,null
251,null,null,null,null
252,null,null,null,null
253,null,null,null,null
254,null,null,null,null
255,null,null,null,null
256,Water Breathing,am2.buffs.ArsMagicaPotion
257,Flight,am2.buffs.ArsMagicaPotion
258,Feather Fall,am2.buffs.ArsMagicaPotion
259,Haste,am2.buffs.ArsMagicaPotion
260,True Sight,am2.buffs.ArsMagicaPotion
261,Regeneration,am2.buffs.ArsMagicaPotion
262,Magic Shield,am2.buffs.ArsMagicaPotion
263,Charmed,am2.buffs.ArsMagicaPotion
264,Frost Slow,am2.buffs.ArsMagicaPotion
265,Chrono Anchor,am2.buffs.ArsMagicaPotion
266,Mana Regen,am2.buffs.ArsMagicaPotion
267,Entangled,am2.buffs.ArsMagicaPotion
268,Watery Grave,am2.buffs.ArsMagicaPotion
269,Spell Reflect,am2.buffs.ArsMagicaPotion
270,Silence,am2.buffs.ArsMagicaPotion
271,Swift Swim,am2.buffs.ArsMagicaPotion
272,Agility,am2.buffs.ArsMagicaPotion
273,Leap,am2.buffs.ArsMagicaPotion
274,Mana Boost,am2.buffs.ArsMagicaPotion
275,Astral Distortion,am2.buffs.ArsMagicaPotion
276,Mana Shield,am2.buffs.ArsMagicaPotion
277,Fury,am2.buffs.ArsMagicaPotion
278,Scramble Synapses,am2.buffs.ArsMagicaPotion
279,Illuminated,am2.buffs.ArsMagicaPotion
280,Greater Mana Restoration,am2.buffs.ManaPotion
281,Epic Mana Restoration,am2.buffs.ManaPotion
282,Legendary Mana Restoration,am2.buffs.ManaPotion
283,Gravity Well,am2.buffs.ArsMagicaPotion
284,Levitation,am2.buffs.ArsMagicaPotion
285,Clarity,am2.buffs.ArsMagicaPotion
286,Shrunken,am2.buffs.ArsMagicaPotion
287,null,null,null,null
288,null,null,null,null
289,null,null,null,null
290,null,null,null,null
291,null,null,null,null
292,null,null,null,null
293,null,null,null,null
294,null,null,null,null
295,null,null,null,null
296,null,null,null,null
297,null,null,null,null
298,null,null,null,null
299,null,null,null,null
300,null,null,null,null
301,null,null,null,null
302,null,null,null,null
303,null,null,null,null
304,null,null,null,null
305,null,null,null,null
306,null,null,null,null
307,null,null,null,null
308,null,null,null,null
309,null,null,null,null
310,null,null,null,null
311,null,null,null,null
312,null,null,null,null
313,null,null,null,null
314,null,null,null,null
315,null,null,null,null
316,null,null,null,null
317,null,null,null,null
318,null,null,null,null
319,potion.paralysis,biomesoplenty.common.potions.PotionParalysis
320,potion.possession,biomesoplenty.common.potions.PotionPossession
321,null,null,null,null
322,null,null,null,null
323,null,null,null,null
324,null,null,null,null
325,null,null,null,null
326,null,null,null,null
327,null,null,null,null
328,null,null,null,null
329,null,null,null,null
330,null,null,null,null
331,null,null,null,null
332,null,null,null,null
333,null,null,null,null
334,null,null,null,null
335,null,null,null,null
336,null,null,null,null
337,null,null,null,null
338,null,null,null,null
339,null,null,null,null
340,null,null,null,null
341,null,null,null,null
342,null,null,null,null
343,null,null,null,null
344,null,null,null,null
345,null,null,null,null
346,null,null,null,null
347,null,null,null,null
348,null,null,null,null
349,null,null,null,null
350,null,null,null,null
351,null,null,null,null
352,null,null,null,null
353,null,null,null,null
354,null,null,null,null
355,null,null,null,null
356,null,null,null,null
357,null,null,null,null
358,null,null,null,null
359,null,null,null,null
360,null,null,null,null
361,null,null,null,null
362,null,null,null,null
363,null,null,null,null
364,null,null,null,null
365,null,null,null,null
366,null,null,null,null
367,null,null,null,null
368,null,null,null,null
369,null,null,null,null
370,null,null,null,null
371,null,null,null,null
372,null,null,null,null
373,null,null,null,null
374,null,null,null,null
375,null,null,null,null
376,null,null,null,null
377,null,null,null,null
378,null,null,null,null
379,null,null,null,null
380,null,null,null,null
381,null,null,null,null
382,null,null,null,null
383,null,null,null,null
384,null,null,null,null
385,null,null,null,null
386,null,null,null,null
387,null,null,null,null
388,null,null,null,null
389,null,null,null,null
390,null,null,null,null
391,null,null,null,null
392,null,null,null,null
393,null,null,null,null
394,null,null,null,null
395,null,null,null,null
396,null,null,null,null
397,null,null,null,null
398,null,null,null,null
399,null,null,null,null
400,null,null,null,null
401,null,null,null,null
402,null,null,null,null
403,null,null,null,null
404,null,null,null,null
405,null,null,null,null
406,null,null,null,null
407,null,null,null,null
408,null,null,null,null
409,null,null,null,null
410,null,null,null,null
411,null,null,null,null
412,null,null,null,null
413,null,null,null,null
414,null,null,null,null
415,null,null,null,null
416,null,null,null,null
417,null,null,null,null
418,null,null,null,null
419,null,null,null,null
420,null,null,null,null
421,null,null,null,null
422,null,null,null,null
423,null,null,null,null
424,Delirium,minechem.potion.PotionProvider
